Date,Close,High,Low,Open,Volume,EMA20,EMA50,EMA200,RSI,MACD,MACD_SIGNAL,VOL_MA20,VOL_RATIO,ATH,DRAWDOWN,WATCH_SIGNAL,EARLY_SIGNAL
2017-01-01,998.3250122070312,1003.0800170898438,958.698974609375,963.6580200195312,147775008,891.8303318814219,816.7197665831112,678.4550026731234,85.98018006402323,56.48158818384479,46.0157559057618,135540745.6,1.0902626169410714,998.3250122070312,0.0,False,False
2017-01-02,1021.75,1031.3900146484375,996.7020263671875,998.6170043945312,222184992,904.2036336070008,824.7601678935775,681.8708732932913,86.94079747861238,59.78333811332186,48.76927234727381,142567715.2,1.5584523585042347,1021.75,0.0,False,False
2017-01-03,1043.8399658203125,1044.0799560546875,1021.5999755859375,1021.5999755859375,185168000,917.5023319130305,833.3515325181554,685.4725558059981,87.50229871889758,63.45105013930947,51.70562790568095,148027165.2,1.2509055331149448,1043.8399658203125,0.0,False,False
2017-01-04,1154.72998046875,1159.4200439453125,1044.4000244140625,1044.4000244140625,344945984,940.0954412992895,845.9546089083749,690.1417839120951,89.91471255552457,74.44745189641947,56.25399270382865,161195459.6,2.139923697950113,1154.72998046875,0.0,False,False
2017-01-05,1013.3800048828125,1191.0999755859375,910.4169921875,1156.72998046875,510199008,947.0749235453393,852.5203107112941,693.3580846182714,64.52074823033601,70.93868084004714,59.19093033107235,182525000.0,2.7952280947815367,1154.72998046875,-12.240954853233998,False,False
2017-01-06,902.2009887695312,1046.81005859375,883.9439697265625,1014.239990234375,351876000,942.8012154714529,854.4685725959308,695.4361234655477,48.25313368818411,58.512244329977534,59.05519313085339,196169310.0,1.7937362373349837,1154.72998046875,-21.869094590988915,False,False
2017-01-07,908.5850219726562,908.5850219726562,823.5560302734375,903.4869995117188,279550016,939.5425303763294,856.5907862969789,697.5570080278076,50.88840943846649,48.61889365219531,56.96793323512178,207120590.8,1.349696883927583,1154.72998046875,-21.316235194324296,False,False
2017-01-08,911.198974609375,942.7239990234375,887.2490234375,908.1749877929688,158715008,936.84314411281,858.7322838778572,699.682798740062,51.36648127876991,40.52215195085398,53.678776978268225,211312021.2,0.7510931327933368,1154.72998046875,-21.08986602742541,False,False
2017-01-09,902.8280029296875,913.6859741210938,879.8070068359375,913.2440185546875,141876992,933.6036068572746,860.4615277622427,701.7041440553818,49.56239731294479,33.04899017676996,49.55281961796858,213424406.0,0.6647646099106398,1154.72998046875,-21.81479495637635,False,False
2017-01-10,907.6790161132812,914.8729858398438,901.0599975585938,902.4400024414062,115808000,931.1345982149894,862.3131939720873,703.7536452698882,47.57261239025889,27.204297642754113,45.08311522292569,211436006.0,0.5477212807358838,1154.72998046875,-21.394695602792012,False,False
